,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
9,10,2,62,1,612,123,1223,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
10,11,2,62,1,612,123,1223,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",4,16.69,15.38,22.98,11.63,4.29,10.63,4.19,5.92,-2.49
11,12,3,40,1,1140,80,1180,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",4,13.28,7.44,17.81,13.37,8.46,5.59,2.47,1.15,-2.85
12,13,2,62,1,612,123,1223,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",4,5.62,-0.76,0.57,8.55,5.06,3.26,9.87,15.84,13.97
13,14,1,100,1,100,199,1299,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
14,15,1,100,1,100,199,1299,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,23.9,25.73,27.51,32.11,21.63,28.57,31.72,34.96,30.22
15,16,2,62,1,612,123,1223,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",4,25.47,35.52,34.26,32.91,14.98,35.29,19.84,33.11,11.22
16,17,2,62,1,612,123,1223,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
17,18,3,40,1,1140,80,1180,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",4,0,0,0,0,0,0,0,0,0
18,19,3,40,1,1140,80,1180,RVF-ASS-STRONG,PRODUCER,MOVIE,no,"['0', '0', '0', '0', '0', '0']",4,16.61,12.04,18.76,17.4,15.46,8.85,12.79,7.7,8.08
19,20,1,100,1,100,199,1299,RVF-ASS-STRONG,PILLOW,SLEEP,no,"['0', '0', '0', '0', '0', '0']",4,4.9,9.37,8.12,15.45,1.19,12.08,10.88,14.29,11.61
