,participant,list,trial_order_participant,counterbalance,pair_order_id,prime_word_id,target_word_id,target_condition,prime,target,flag_40,all_prime_target_flags,bin_num,16,17,20,21,24,25,28,29,30
2,3,1,81,1,81,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",6,-2.08,-1.04,1.82,-1.2,-3.48,-2.68,-1.18,-3.32,-0.18
3,4,2,63,1,393,627,253,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",6,-5.75,-9.03,-6.82,-8.49,-3.4,-8.09,-6.27,-8.43,-4.56
4,5,1,81,1,81,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",6,14.92,16.57,15.29,17.19,15.06,13.47,12.02,15.31,8.8
5,6,2,63,1,393,627,253,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",6,0,0,0,0,0,0,0,0,0
6,7,1,81,1,81,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",6,12.98,9.48,21.02,10.91,9.61,3.14,7.03,1.01,-10.53
7,8,2,63,1,393,627,253,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",6,6.13,0.15,6.49,4.11,2.22,-2.08,1.59,1.48,-1.55
8,9,1,81,1,81,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",6,15.05,22.73,21.86,20.77,11.38,21.16,17.82,21.01,14.28
9,10,2,63,1,393,627,253,RVF-ASS-STRONG,VASE,FLOWER,no,"['0', '0', '0', '0', '0', '0']",6,8.49,3.87,7.36,10.62,10.6,1.93,9.41,5.82,5.8
10,11,1,81,1,81,510,178,RVF-ASS-STRONG,SHADOW,DARK,no,"['0', '0', '0', '0', '0', '0']",6,2.12,-3.66,-2.63,-1.44,2.84,-0.63,-2.11,-2.42,-1.28
11,12,3,60,1,720,647,457,RVF-ASS-STRONG,WELFARE,POOR,no,"['0', '0', '0', '0', '0', '0']",6,4.41,9.55,9.29,14.18,5.23,8.47,14.63,16.13,16.9
